Symbol,Company,Geography,Weight
NPI,Northland Power Inc,Canada,8.83
VWS,Vestas Wind Systems A/S,Denmark,8.64
ORSTED,Orsted A/S,Denmark,8.25
SGRE,Siemens Gamesa Renewable Energy SA,Spain,8.17
BLX,Boralex Inc Class A,Canada,5.52
916,China Longyuan Power Group Corp Ltd Class H,China,4.21
INE,Innergex Renewable Energy Inc,Canada,4.07
TPIC,TPI Composites Inc,United States,2.39
2208,Xinjiang Goldwind Science & Technology Co Ltd Class H,China,2.3
GE,General Electric Co,United States,2.23
DUK,Duke Energy Corp,United States,2.2
NEE,NextEra Energy Inc,United States,2.03
LNT,Alliant Energy Corp,United States,1.97
SSE,SSE PLC,United Kingdom,1.84
EDP,EDP - Energias de Portugal SA,Portugal,1.82
ABBN,ABB Ltd,Switzerland,1.82
IBE,Iberdrola SA,Spain,1.81
GUR,Gurit Holding AG,Switzerland,1.8
SIE,Siemens AG,Germany,1.79
8031,Mitsui & Co Ltd,Japan,1.77
RWE,RWE AG,Germany,1.76
ENEL,Enel SpA,Italy,1.71
EOAN,E.ON SE,Germany,1.67
ENGI,Engie SA,France,1.65
112610,CS Wind Corp,South Korea,1.59
ELE,Endesa SA,Spain,1.58
FKR,Falck Renewables SpA,Italy,1.56
TENERGY,Terna Energy SA,Greece,1.49
SKF B,SKF AB B,Sweden,1.46
3402,Toray Industries Inc,Japan,1.43
7011,Mitsubishi Heavy Industries Ltd,Japan,1.38
PRY,Prysmian SpA,Italy,1.32
18000,Unison Co Ltd,South Korea,1.11
AGL,AGL Energy Ltd,Australia,1.04
1798,China Datang Corp Renewable Power Co Ltd Class H,China,0.88
658,China High Speed Transmission Equipment Group Co Ltd,China,0.8
EOLU B,Eolus Vind AB B,Sweden,0.79
WWD,Woodward Inc,United States,0.71
PNE3,PNE AG,Germany,0.61
ANA,Acciona SA,Spain,0.41
TRN,Trinity Industries Inc,United States,0.36
BKW,BKW AG,Switzerland,0.36
NEOEN,Neoen SA,France,0.31
RNW,TransAlta Renewables Inc,Canada,0.25
MISXX,Morgan Stanley Instl Lqudty Trs Instl,United States,0.13
956,China Suntien Green Energy Corp Ltd Class H,China,0.08
AMSC,American Superconductor Corp,United States,0.05
100130,Dongkuk Structures & Construction Co Ltd,South Korea,0.04
