Symbol,Description,Country,CurrentValue
AAPL,APPLE INC COM USD0.00001,United States,954.08
BNGO,BIONANO GENOMICS INC COM,United States,333.33
USLVF,Silver 3xl,Metal,2530
MJ,ETFMG ALTERNATIVE HARVEST ETF,NA,1372.35
FDRXX,FIDELITY GOVERNMENT CASH RESERVES,US Dollars,25.73
QCLN,FIRST TR EXCHANGE-TRADED FD NAS CLNEDG GREEN,NA,826.95
FAN,FIRST TRUST GLOBAL WIND ENERGY ETF,NA,1491.75
PBW,INVESCO EXCHANGE TRADED FD TR WILDERHIL CLAN,NA,1511.2
TAN,INVESCO EXCH TRADED FD TR II SOLAR ETF,NA,3461.08
PBD,INVESCO EXCH TRADED FD TR II GBL CLEAN ENRG,NA,1327
IAU,Gold,Metal,7200
ICLN,ISHARES TR GL CLEAN ENE ETF,NA,1410.5
MSFT,MICROSOFT CORP,United States,216.51
PYPL,PAYPAL HLDGS INC COM,United States,188.62
UFO,PROCURE ETF TRUST II SPACE ETF,NA,1422.3
CNRG,SPDR SER TR S&P KENSHO CLEAN,NA,1262.1
